No,区分,確認項目,必須,結果,証拠,確認者,確認日
1,Build,スタッフPWA本番ビルド,○,合格,V43_TEST_EXECUTION.txt,自動検証,2026-07-14
2,Build,管理画面本番ビルド,○,合格,V43_TEST_EXECUTION.txt,自動検証,2026-07-14
3,Build,Functions本番ビルド,○,合格,V43_TEST_EXECUTION.txt,自動検証,2026-07-14
4,SLA,SLA・差分監視63件,○,合格,V43_TEST_EXECUTION.txt,自動検証,2026-07-14
5,Security,権限・担当競合・引継ぎ安全性40件,○,合格,V43_TEST_EXECUTION.txt,自動検証,2026-07-14
6,Deploy,承認付き本番デプロイ39件,○,合格,V43_TEST_EXECUTION.txt,自動検証,2026-07-14
7,Acceptance,本番9項目・3回受入52件,○,合格,V43_TEST_EXECUTION.txt,自動検証,2026-07-14
8,Rollback,既知正常bundle14件・rollback53件,○,合格,V43_TEST_EXECUTION.txt,自動検証,2026-07-14
9,Demo,ワンクリック配信16件,○,合格,V43_TEST_EXECUTION.txt,自動検証,2026-07-14
10,Regression,コア回帰テスト43本,○,合格,V43_TEST_EXECUTION.txt,自動検証,2026-07-14
11,Security,high・critical依存脆弱性0件,○,合格,V43_TEST_EXECUTION.txt,自動検証,2026-07-14
12,Deploy,実Firebase productionデプロイ,○,未実施,deployment-result.json,,
13,SLA,実PushのLEVEL 1～3通知,○,未実施,productionReleaseEvidence/events,,
14,Handoff,実管理者間の引継ぎ・受領・競合拒否,○,未実施,productionReleaseEvidence/alerts,,
15,Rollback,失敗時の別承認rollback・復旧受入,○,未実施,rollback-result.json,,
