No,区分,確認項目,必須,結果,証拠,確認者,確認日
1,Build,スタッフPWA本番ビルド,○,合格,V39_TEST_EXECUTION.txt,自動検証,2026-07-14
2,Build,管理画面本番ビルド,○,合格,V39_TEST_EXECUTION.txt,自動検証,2026-07-14
3,Build,Functions本番ビルド,○,合格,V39_TEST_EXECUTION.txt,自動検証,2026-07-14
4,Setup,本番10ファイル生成ウィザード27件,○,合格,V39_TEST_EXECUTION.txt,自動検証,2026-07-14
5,Deploy,デプロイ前診断16件,○,合格,V39_TEST_EXECUTION.txt,自動検証,2026-07-14
6,Deploy,承認・段階実行・失敗停止39件,○,合格,V39_TEST_EXECUTION.txt,自動検証,2026-07-14
7,Acceptance,本番9項目・3回受入52件,○,合格,V39_TEST_EXECUTION.txt,自動検証,2026-07-14
8,Recovery,既知正常bundle生成・改ざん拒否14件,○,合格,V39_TEST_EXECUTION.txt,自動検証,2026-07-14
9,Recovery,別承認・段階rollback・停止53件,○,合格,V39_TEST_EXECUTION.txt,自動検証,2026-07-14
10,Demo,ワンクリック配信16件,○,合格,V39_TEST_EXECUTION.txt,自動検証,2026-07-14
11,Regression,コア回帰テスト41本,○,合格,V39_TEST_EXECUTION.txt,自動検証,2026-07-14
12,Security,high・critical依存脆弱性0件,○,合格,V39_TEST_EXECUTION.txt,自動検証,2026-07-14
13,Input,production-setup.jsonの実値入力,○,未実施,Git管理対象外,,
14,Recovery,既知正常版実build・bundle保管,○,未実施,rollback-manifest.json,,
15,Approval,実計画指紋・30分承認・5確認,○,未実施,production-deploy-approval.json,,
16,IAM,Firebase CLI認証・対象Projectアクセス,○,未実施,projects:list evidence,,
17,Deploy,実Firebase production 3段階デプロイ,○,未実施,deployment-result.json,,
18,Acceptance,実9項目を5分間隔で3回合格,○,未実施,acceptance-ledger.json,,
19,Rollback,失敗時の15分別承認・既知正常版4段階復旧,○,未実施,rollback-result.json,,
20,Recovery,復旧版9項目を5分間隔で3回合格,○,未実施,rollback-acceptance-ledger.json,,
21,Readiness,管理画面12/12 READY,○,未実施,readiness fingerprint,,
22,Cutover,T−60〜T＋24h・切戻し判定,○,未実施,productionCutoverRuns,,
