ファイル・フォルダ,判断,保存先,削除時期,理由
v3.4 本番SLO・自動インシデントZIP,KEEP_CURRENT,01_現行最新版,,実環境引渡しと次回開発の基点
v0.1〜v3.3 ZIP,ARCHIVE,02_旧バージョン,,復旧・比較
productionSloPolicies・productionSloSnapshots,KEEP_EVIDENCE,Firestore保持,,SLO基準と判断結果
productionSloObservations,KEEP_EVIDENCE,Firestore保持,,本番観測値と原証跡
productionSloHourBuckets,KEEP_ROLLUP,Firestore保持,保持規程に従う,30日ローリング集計
productionIncidents・productionIncidentEvents,KEEP_EVIDENCE,Firestore保持,,SEV・対応・復旧・解決の監査
productionApprovalPackages・productionCutoverRuns,KEEP_EVIDENCE,Firestore保持,,公開承認と当日切替の証拠
productionReleaseAuthorizations・productionEmergencyEvents・auditLogs,KEEP_EVIDENCE,Firestore保持,,有効化・切戻し・職務分離の証拠
Ed25519公開鍵,KEEP_CONFIG,production Secret Manager,鍵更新まで,署名検証
Ed25519秘密鍵,LOCAL_SECRET_ONLY,staging Secret Manager・隔離鍵保管,鍵更新後に規程どおり,署名権限
秘密鍵を含む生成ファイル,DELETE_CANDIDATE,通常Drive保存禁止,Secret登録・隔離保管後,漏えい防止
node_modules・test-*-lib,DELETE_CANDIDATE,99_削除候補,即時可,再生成可能
