No,区分,確認項目,必須,結果,証拠,確認者,確認日
1,Build,スタッフPWA本番ビルド,○,合格,V33_TEST_EXECUTION.txt,自動検証,2026-07-14
2,Build,管理画面本番ビルド,○,合格,V33_TEST_EXECUTION.txt,自動検証,2026-07-14
3,Build,Functions本番ビルド,○,合格,V33_TEST_EXECUTION.txt,自動検証,2026-07-14
4,Safety,staging関連53ケース,○,合格,V33_TEST_EXECUTION.txt,自動検証,2026-07-14
5,Rehearsal,隔離リハーサル手順生成12ケース,○,合格,V33_TEST_EXECUTION.txt,自動検証,2026-07-14
6,Rehearsal,復元・移行・切戻し判定20ケース,○,合格,V33_TEST_EXECUTION.txt,自動検証,2026-07-14
7,Gate,本番公開ゲート17ケース,○,合格,V33_TEST_EXECUTION.txt,自動検証,2026-07-14
8,Signature,署名承認パッケージ判定21ケース,○,合格,V33_TEST_EXECUTION.txt,自動検証,2026-07-14
9,Cutover,本番切替指揮盤判定42ケース,○,合格,V33_TEST_EXECUTION.txt,自動検証,2026-07-14
10,Test,コア回帰テスト37本,○,合格,V33_TEST_EXECUTION.txt,自動検証,2026-07-14
11,Security,high・critical依存脆弱性0件,○,合格,V33_TEST_EXECUTION.txt,自動検証,2026-07-14
12,Rollout,30〜50名・全3wave・最終観察完了,○,未実施,実staging待ち,,
13,Restore,隔離復元・件数・SHA-256・権限probe・smoke合格,○,未実施,隔離演習待ち,,
14,Migration,移行dry-run件数一致・差異0件,○,未実施,隔離演習待ち,,
15,Rollback,RTO60分以内・RPO5分以内・smoke失敗0件,○,未実施,隔離演習待ち,,
16,GAS,GAS重大・高リスク0件,○,未実施,実GAS全コード待ち,,
17,Legal,法務・社内規程確認,○,未実施,,,
18,Secrets,本番Secret・監視・ドメイン設定,○,未実施,,,
19,Approval,指定社長アカウント承認,○,未実施,,,
20,Package,対象Project固定の署名パッケージ発行・受理,○,未実施,productionApprovalPackages,,
21,Readiness,当日準備9項目・証跡3件以上,○,未実施,productionCutoverRuns,,
22,Timing,T±5分・PREFLIGHT GOで別管理者が最終実行,○,未実施,productionReleaseAuthorizations,,
23,Observation,T＋5〜T＋24hの観測・証跡2件以上,○,未実施,productionCutoverObservations,,
24,RollbackGate,ROLLBACK_REQUIRED時の全体停止・手順確認,○,未実施,productionEmergencyEvents,,
25,Completion,T＋24h・連続正常12run・本番正常稼働,○,未実施,productionCutoverRuns,,
