No,区分,確認項目,必須,結果,証拠,確認者,確認日
1,Build,スタッフPWA本番ビルド,○,合格,V37_TEST_EXECUTION.txt,自動検証,2026-07-14
2,Build,管理画面本番ビルド,○,合格,V37_TEST_EXECUTION.txt,自動検証,2026-07-14
3,Build,Functions本番ビルド,○,合格,V37_TEST_EXECUTION.txt,自動検証,2026-07-14
4,Setup,本番8ファイル生成ウィザード25件,○,合格,V37_TEST_EXECUTION.txt,自動検証,2026-07-14
5,Deploy,デプロイ前診断15件,○,合格,V37_TEST_EXECUTION.txt,自動検証,2026-07-14
6,Demo,ワンクリック配信16件,○,合格,V37_TEST_EXECUTION.txt,自動検証,2026-07-14
7,Regression,コア回帰テスト41本,○,合格,V37_TEST_EXECUTION.txt,自動検証,2026-07-14
8,Security,high・critical依存脆弱性0件,○,合格,V37_TEST_EXECUTION.txt,自動検証,2026-07-14
9,Input,production-setup.jsonの実値入力,○,未実施,Git管理対象外,,
10,Generate,本番設定8ファイル生成,○,未実施,setup wizard output,,
11,IAM,Monitoring Viewer・Metric Writer最小権限,○,未実施,IAM evidence,,
12,Deploy,実Firebase productionデプロイ,○,未実施,deployment evidence,,
13,Readiness,管理画面12/12 READY,○,未実施,readiness fingerprint,,
14,Cutover,T−60〜T＋24h・切戻し判定,○,未実施,productionCutoverRuns,,
