No,区分,確認項目,必須,結果,証拠,確認者,確認日
1,Build,スタッフPWA本番ビルド,○,合格,V52_TEST_EXECUTION.txt,自動検証,2026-07-15
2,Build,管理画面本番ビルド,○,合格,V52_TEST_EXECUTION.txt,自動検証,2026-07-15
3,Build,Functions本番ビルド,○,合格,V52_TEST_EXECUTION.txt,自動検証,2026-07-15
4,Analytics,自動配信・分析アラート・PDF・CSV189件,○,合格,V52_TEST_EXECUTION.txt,自動検証,2026-07-15
5,Security,権限・指紋再検証・企業分離138件,○,合格,V52_TEST_EXECUTION.txt,自動検証,2026-07-15
6,Deploy,承認付き本番デプロイ39件,○,合格,V52_TEST_EXECUTION.txt,自動検証,2026-07-15
7,Acceptance,本番9項目・3回受入52件,○,合格,V52_TEST_EXECUTION.txt,自動検証,2026-07-15
8,Rollback,既知正常bundle14件・rollback53件,○,合格,V52_TEST_EXECUTION.txt,自動検証,2026-07-15
9,Demo,ワンクリック配信16件,○,合格,V52_TEST_EXECUTION.txt,自動検証,2026-07-15
10,Regression,全コア回帰,○,合格,V52_TEST_EXECUTION.txt,自動検証,2026-07-15
11,Security,high・critical依存脆弱性0件,○,合格,V52_TEST_EXECUTION.txt,自動検証,2026-07-15
12,Deploy,実Firebase productionデプロイ,○,未実施,deployment-result.json,,
13,Delivery,実管理者への火曜経営レポート配信,○,未実施,productionReleaseEvidence/executiveReports,,
14,Workflow,実分析アラートの確認・担当通知,○,未実施,productionReleaseEvidence/responsibilityAlerts,,
15,Export,実データPDF・CSVの日本語・安全性確認,○,未実施,executive-report.pdf,,
16,Rollback,失敗時の別承認rollback・復旧受入,○,未実施,rollback-result.json,,
