No,区分,確認項目,必須,結果,証拠,確認者,確認日
1,Build,スタッフPWA本番ビルド,○,合格,V32_TEST_EXECUTION.txt,自動検証,2026-07-14
2,Build,管理画面本番ビルド,○,合格,V32_TEST_EXECUTION.txt,自動検証,2026-07-14
3,Build,Functions本番ビルド,○,合格,V32_TEST_EXECUTION.txt,自動検証,2026-07-14
4,Safety,staging関連53ケース,○,合格,V32_TEST_EXECUTION.txt,自動検証,2026-07-14
5,Rehearsal,隔離リハーサル手順生成12ケース,○,合格,V32_TEST_EXECUTION.txt,自動検証,2026-07-14
6,Rehearsal,復元・移行・切戻し判定20ケース,○,合格,V32_TEST_EXECUTION.txt,自動検証,2026-07-14
7,Gate,本番公開ゲート17ケース,○,合格,V32_TEST_EXECUTION.txt,自動検証,2026-07-14
8,Signature,署名承認パッケージ判定21ケース,○,合格,V32_TEST_EXECUTION.txt,自動検証,2026-07-14
9,Test,コア回帰テスト36本,○,合格,V32_TEST_EXECUTION.txt,自動検証,2026-07-14
10,Security,high・critical依存脆弱性0件,○,合格,V32_TEST_EXECUTION.txt,自動検証,2026-07-14
11,Rollout,30〜50名・全3wave・最終観察完了,○,未実施,実staging待ち,,
12,Restore,隔離復元・件数・SHA-256・権限probe・smoke合格,○,未実施,隔離演習待ち,,
13,Migration,移行dry-run件数一致・差異0件,○,未実施,隔離演習待ち,,
14,Rollback,RTO60分以内・RPO5分以内・smoke失敗0件,○,未実施,隔離演習待ち,,
15,GAS,GAS重大・高リスク0件,○,未実施,実GAS全コード待ち,,
16,Legal,法務・社内規程確認,○,未実施,,,
17,Secrets,本番Secret・監視・ドメイン設定,○,未実施,,,
18,Approval,提出者とは別の指定社長アカウント承認,○,未実施,,,
19,Key,Ed25519秘密鍵はstaging・公開鍵はproductionだけに登録,○,未実施,Secret Manager,,
20,Package,対象Project固定の署名パッケージ発行,○,未実施,productionApprovalPackageExports,,
21,Verify,productionで署名・企業・Project・期限・fingerprint合格,○,未実施,productionApprovalPackages,,
22,Replay,同一パッケージ再取込・再利用拒否,○,未実施,auditLogs,,
23,Enablement,社長承認者とは別メールの管理者が30分以内に最終実行,○,未実施,productionReleaseAuthorizations,,
