No,区分,確認項目,必須,結果,証拠,確認者,確認日
1,Build,スタッフPWA本番ビルド,○,合格,V27_TEST_EXECUTION.txt,自動検証,2026-07-14
2,Build,管理画面本番ビルド,○,合格,V27_TEST_EXECUTION.txt,自動検証,2026-07-14
3,Build,Functions本番ビルド,○,合格,V27_TEST_EXECUTION.txt,自動検証,2026-07-14
4,Performance,PWAバンドル容量検査,○,合格,V27_TEST_EXECUTION.txt,自動検証,2026-07-14
5,Safety,staging関連53ケース,○,合格,V27_TEST_EXECUTION.txt,自動検証,2026-07-14
6,Pilot,配布・監視判定コア10件,○,合格,V27_TEST_EXECUTION.txt,自動検証,2026-07-14
7,Test,コア回帰テスト31本,○,合格,V27_TEST_EXECUTION.txt,自動検証,2026-07-14
8,Security,high・critical依存脆弱性0件,○,合格,V27_TEST_EXECUTION.txt,自動検証,2026-07-14
9,Staging,実値checkpoint・デプロイ・Go判定,○,未実施,実Firebase設定待ち,,
10,Pilot,実スタッフ3～5名への配布成功,○,未実施,実staging待ち,,
11,Monitoring,5分監視・PAUSE・復旧Push実疎通,○,未実施,実staging待ち,,
12,Regression,請求・給与差額0円,○,未実施,検証スプシ待ち,,
13,Regression,PDF・メール差異0件,○,未実施,検証スプシ待ち,,
14,GAS,GAS重大・高リスク0件,○,未実施,実GAS全コード待ち,,
15,Backup,復元試験成功,○,未実施,,,
16,Monitoring,本番Cloud Monitoring設定,○,未実施,,,
17,Migration,本番データ移行,○,未実施,,,
18,Approval,社長の公開承認,○,未実施,,,
